year,doy_start,date_start,date_end,variable,region,box_min_lat,box_max_lat,box_min_lon,box_max_lon,value_mean,value_min,value_max,value_std,n_valid_pixels,source_granule
2020,41,2020-02-10,2020-02-17,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.2977119090846766,0.11935994029045105,5.2955322265625,0.5080742798325142,5350,AQUA_MODIS.20200210_20200217.L3m.8D.CHL.chlor_a.4km.nc
2020,41,2020-02-10,2020-02-17,chlor_a,Karnataka,12.0,15.0,74.0,76.0,0.8859390248286041,0.15352803468704224,6.45438814163208,1.0518447798427104,1135,AQUA_MODIS.20200210_20200217.L3m.8D.CHL.chlor_a.4km.nc
2020,49,2020-02-18,2020-02-25,sst,Kerala,8.0,12.5,74.0,77.0,29.443429046633653,28.494998931884766,34.88999938964844,0.42221234200604957,5464,AQUA_MODIS.20200218_20200225.L3m.8D.SST.sst.4km.nc
2020,49,2020-02-18,2020-02-25,sst,Karnataka,12.0,15.0,74.0,76.0,29.796295763673008,27.19999885559082,31.224998474121094,0.4763217948952704,1184,AQUA_MODIS.20200218_20200225.L3m.8D.SST.sst.4km.nc
2020,49,2020-02-18,2020-02-25,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.27777054551793817,0.0978398323059082,41.64603042602539,1.024364443711344,4871,AQUA_MODIS.20200218_20200225.L3m.8D.CHL.chlor_a.4km.nc
2020,49,2020-02-18,2020-02-25,chlor_a,Karnataka,12.0,15.0,74.0,76.0,0.5266467054053897,0.14110513031482697,3.414686918258667,0.5126421314952614,976,AQUA_MODIS.20200218_20200225.L3m.8D.CHL.chlor_a.4km.nc
2020,57,2020-02-26,2020-03-04,sst,Kerala,8.0,12.5,74.0,77.0,29.652164491987655,28.174999237060547,36.5099983215332,0.5228382345326841,5473,AQUA_MODIS.20200226_20200304.L3m.8D.SST.sst.4km.nc
2020,57,2020-02-26,2020-03-04,sst,Karnataka,12.0,15.0,74.0,76.0,29.657480559615514,28.479999542236328,32.67499923706055,0.42742514744089266,1199,AQUA_MODIS.20200226_20200304.L3m.8D.SST.sst.4km.nc
2020,57,2020-02-26,2020-03-04,chlor_a,Kerala,8.0,12.5,74.0,77.0,0.19010714566347753,0.11937616020441055,1.1207976341247559,0.08767365404635583,1176,AQUA_MODIS.20200226_20200304.L3m.8D.CHL.chlor_a.4km.nc
2020,65,2020-03-05,2020-03-12,sst,Kerala,8.0,12.5,74.0,77.0,30.08189542915605,28.420000076293945,36.64999771118164,0.5689870172350453,5477,AQUA_MODIS.20200305_20200312.L3m.8D.SST.sst.4km.nc
